titulo,ano,mes,dia1,datas,dsemana,horario,tipo,carga,sinopse,conteudo,obs,mestre,minibio,imagem,ingresso,valor,minimo,maximo,Status,Data check
Abertura do Maker Space + Wearables Lab,2018,ago,8,8,qua,20h,abertura,3h,"O Lilo.Zone é um ateliê compartilhado de uso criativo de tecnologia. Um espaço, uma fábrica, uma zona criativa de intersecções entre tecnologia, design e arte. Seguindo o princípio de fomentar experiências lúdicas e acessíveis com foco em tecnologia, estamos abrindo nosso MAKER SPACE + WEARABLES LAB. Contamos com a sua presença para participar deste espaço e impulsionar grandes ideias!",,,,,/abertura,,gratuito,,,Já passou,08/08/2018
BIOLILOLAB - Bioprototipagem com propósito,2018,ago,22,22,qua,19h,abertura,3h,"O BioLiloLab é um laboratório autônomo guiado pelo experimento, com projetos de prototipagem e desprototipagem em biomateriais. O objetivo é promover o encontro entre pessoas e projetos em ciência experimental com foco em biomateriais, biohacking, open hardware e claro, bioarte. 
No dia 22/08, quarta, às 19h esperamos todos vocês para uma conversa e apresentação do laboratório situado à Rua João Moura 2152 (próximo ao metrô Vila Madalena). Venha prestigiar e traga suas idéias!",,,,,/biolilolab,,gratuito,,,Já passou,22/08/2018
O incrível mundo da luz e da cor,2018,ago,29,29/08,qua,19h30,café tecnológico,1h30,"Como funciona um letreiro neon? Como um sapo e um cogumelo podem brilhar no escuro? Por que as folhas das plantas são verdes? O encontro se propõe a responder de maneira não formal a natureza desses fenômenos além de outros exemplos interessantes nos ramos da arte e da tecnologia. (Crédito da imagem: ""Ein Vier-Farben-Satz"", Joseph Kosuth, 1966)",,,Victor Farinella,"Curioso de formação e invencionista nas horas vagas, bacharel em química e pós-graduando em biotecnologia pela USP. Coordena o projeto Bioblocos com Lina Lopes.",cafes/luzcor,,gratuito,,,Já passou,29/08/2018
Rodas de Ensinância,2018,ago,30,30/08,qui,19-22h,rodas de ensinância,1h30,"BetaKit apresenta: Rodas de Ensinância. Um encontro quinzenal lúdico e colaborativo para explorar possibilidades da interação entre eletrônica e materiais do dia-a-dia. Voltado para professores, pais, educadores e curiosos em geral. Evento gratuito.",,,Nathan Rabinovitch,"Nathan Rabinovitch é formado em licenciatura em física pela Universidade de São Paulo. Depois de atuar como professor de Ensino Fundamental 2, se especializou no desenvolvimento de materiais e currículos educacionais que integrem tecnologia, artes e criatividade. Paralelamente, possui uma startup de Edtech, desenvolve projetos cenográficos com design interativo, trabalha com fabricação digital e é pesquisador no LSI-Tec da POLI-USP. 

",oficinas/ensinancia,,gratuito,,,Já passou,30/08/2018
Curso completo de videomapping,2018,ago,31,31/8 e 1/9,"sex, sab",19h às 22h / 10h às 19h,curso,12h,"Sabe a abertura das olimpíadas? Curtiu? Então venha fazer este curso para utilizar projeção mapeada em seus projetos também! A projeção mapeada (VideoMapping) é uma técnica que permite projetar imagens, vídeos e animações sobre relevos e superfícies pouco convencionais de modo a salientar determinadas características do espaço. Pode ser utilizada em fachadas de edifícios, ambientes internos, cenografias de eventos, teatros e instalações em geral. O workshop abordará todas as etapas e medidas necessárias para a criação e execução de um projeto em videomapping. O foco é bastante técnico e aborda temas como resolução, lentes e tecnologias de projetores, softwares e servidores.","* Projetores, medidas de lente, medidas de luminosidade;

* Softwares e mediaservers disponíveis no mercado para projeção mapeada;

* Projetando Curvas - técnica do mesh warping;

* Emendando de projetores -  técnica de blend;

* Tópico sobre VJing das imagens de câmera ao vivo;

* Tópico sobre Interatividade com Processing e Arduíno;

* Exercício das técnicas de videomapping sobre maquete física arquitetônica","Pré-requisitos: acima de 14 anos e conhecimentos em matemática básica (operações aritméticas, geometria plana, regra de três, plano cartesiano).



Observação: O software a ser usado na experimentação será o VPT7 (https://hcgilje.wordpress.com/vpt/). Ele é gratuito e roda em plataforma Mac ou Windows desde que tenha o QuickTime instalado. Quem tiver interesse poderá aplicar os conhecimentos com outros softwares como o Modul8+MadMapper (apenas Mac) ou Resolume Arena (Mac e Windows).

",Lina Lopes,"Artista e designer em Mídias Digitais, trabalha com projetos de Video Mapping, interatividade e luminotécnica. Graduada em Cinema pela Universidade de São Paulo, possui especialização em Iluminação e Design&Tecnologia. Sua pesquisa abrange o campos de design paramétrico/generativo, video mapping, prototipagem, interatividade, wearables e internet das coisas. Sua produção no campo das novas mídias permeia o conceito de instalação interativa, programação com Arduíno, Processing, Raspberry Pi, priorizando projetos de manipulação de imagem em tempo real.",oficinas/videomapping,113262B86F6F9B3EE4B94FAB4B636521,"1.200,00",3,9,Já passou,31/08/2018
"LilyPad, bordando com eletrônicos",2018,nov,3,3,sab,10h às 19h,oficina,6h,"Interfaces Vestíveis, roupas inteligentes, circuitos vestíveis, moda e tecnologia são alguns dos nomes para designar uma série de dispositivos tecnológicos acoplados ao corpo, geralmente por meio roupas, e que atuam de forma interativa com ele.

Dedicado a etapa de programação, este encontro utiliza o Lilypad (Arduíno para projetos vestíveis) acoplando leds costuráveis para construir uma roupa digital e interativa. Os participantes poderão entender um pouco na prática o funcionamento de um circuito eletrônico e sua aplicabilidade em produtos maleáveis como vestimentas, acessórios, roupa de cama e outros objetos, além de sua comunicação para além do corpo com outros dispositivos como computadores, internet e celulares.","* Apresentar o conceito e design de interfaces/computadores vestíveis;

* Apresentar um circuito eletrônico e sua transposição para usar materiais condutivos flexíveis.

* Confeccionar um bordado utilizando materiais convencionais de costura com leds, LilyPad e bateria.","MATERIAL NECESSÁRIO: computador (mac OS ou windows ou linux)
* o lilypad e demais materiais utilizados no workshop são disponibilizados apenas durante a aula.",Lina Lopes,"Artista e designer em Mídias Digitais, trabalha com projetos de Video Mapping, interatividade e luminotécnica. Graduada em Cinema pela Universidade de São Paulo, possui especialização em Iluminação e Design&Tecnologia. Sua pesquisa abrange o campos de design paramétrico/generativo, video mapping, prototipagem, interatividade, wearables e internet das coisas. Sua produção no campo das novas mídias permeia o conceito de instalação interativa, programação com Arduíno, Processing, Raspberry Pi, priorizando projetos de manipulação de imagem em tempo real.",oficinas/bordandolilypad,EC92615D43433117742A1F8A8DD8A3A5,"600,00",4,12,Já passou,22/09/2018
Modelagem Paramétrica e Fabricação Digital com Grasshopper,2018,set,24,"24, 25, 26, 27, 28, 29",seg-sex 19-22h,sab 10-19h,curso,23h,"ÚLTIMA OPORTUNIDADE! Curso sobre o desenvolvimento, controle e viabilização de geometrias complexas através da associação de parâmetros do projeto usando Grasshopper, o mais avançado software de modelagem generativa para Arquitetura e Design.
Além das diretrizes básicas de modelagem paramétrica, os alunos terão a oportunidade de desenvolver e fabricar em escala um protótipo de própria autoria com corte a laser ou impressão 3D.

Destina-se a arquitetos, designers, engenheiros e qualquer pessoa interessada em ferramentas de modelagem paramétrica. 

Mais informações: https://www.eventbrite.com.br/e/modelagem-parametrica-e-fabricacao-digital-com-grasshopper-tickets-49072846204","Conteúdo Programático:

Introdução ao Rhino
Interface Gráfica
Inputs e Outputs
Fluxo de Data
Técnicas de Contour e Panelização
Técnicas de atração e repulsão
Otimização por Algoritmo Evolutivo Galapagos
Simulação de Partículas com Kangaroo
Triangulação e numeração
Preparação de arquivos para Fabricação Digital
Prototipagem em Impressao 3D e Corte a Laser",,Renata Portelada,"Arquiteta e designer formada pela Universidade Presbiteriana Mackenzie. Desenvolve pesquisa em design generativo e computacional desde 2011, trabalhou na Prototype SP, Future Brand e SubDv Architecture. Foi tutora no Workshop de Design Paramétrico e Digital da semana Viver Metrópole Mackenzie 2015 e tutora assistente na AA Visiting School de 2014 e 2015, ministrou diversos cursos de Rhinoceros e Grasshopper. Atua hoje como diretora do LAS (Lab for Architectural Singularity), consultora tecnológica de projetos diversos e faz pesquisa na área de métodos e processos de Design Generativo Interdisciplinares. ",oficinas/grasshopper1,EC55684BACACF2E004CEAF8440CA1BB3,"1.000,00",10,20,Já passou,24/09/2018
"Blockchain: passado, presente e futuros",2018,set,26,26,qua,19h30,café tecnológico,1h30,"O blockchain tem sido alardeado como uma inovadora tecnologia para armazenar informações e é fruto de décadas de pesquisas nas áreas de criptografia e redes de computadores, que poderão ajudar a descentralizar serviços do dia-a-dia, não apenas com criptomoedas. Neste evento, serão abordadas as origens da tecnologia, suas características, usos mais recentes e perspectivas no horizonte, além de problemas relacionados à descentralização.",,,Ricardo Macedo,"Ricardo Macedo é cientista da computação e pesquisa blockchain desde 2013. Trabalhou no time de finanças quantitativas do Itaú BBA, Mercado Bitcoin, Lote45, além de fundos de investimento e na área de melhoria agrícola. Atualmente, trabalha na bXchain, uma empresa voltada a blockchain e criptomoedas.",cafes/blockchain,,gratuito,,,Chegando,26/09/2018
Aprendizagem criativa com beta kit,2018,out,16,16,ter,19h,meetup,2h,"Encontro aberto da Rede Brasileira de Aprendizagem Criativa, organização que une educadores, artistas, pais, empreendedores e interessados em geral na busca de soluções educacionais mais mão-na-massa, criativas e interessantes. Neste evento serão exploradas possibilidades de aprendizagem com beta kit, um kit de programação física e letramento digital com Arduino, em que os participantes farão seus próprios projetos para explorar caminhos educacionais possíveis desta interação. ",,,Nathan Rabinovitch,"Nathan Rabinovitch é formado em licenciatura em física pela Universidade de São Paulo. Depois de atuar como professor de Ensino Fundamental 2, se especializou no desenvolvimento de materiais e currículos educacionais que integrem tecnologia, artes e criatividade. Paralelamente, possui uma startup de Edtech, desenvolve projetos cenográficos com design interativo, trabalha com fabricação digital e é pesquisador no LSI-Tec da POLI-USP. 

",/betakit,,gratuito,,,Já passou,17/10/2018
Joystick Arcade com Arduino,2018,out,20,out,sab,13h às 19h,oficina,5h,"Que tal montar conosco um joystick arcade e jogar no computador da sua casa os jogos mais legais da “Era dos Fliperamas”?
Nesta oficina iremos construir e personalizar um joystick maker usando os mesmos componentes de um arcade profissional utilizando o Arduino e o corte laser.
Não é necessário conhecimento prévio. No final o participante leva o que montou para casa.","Que tal montar conosco um joystick arcade e jogar no computador da sua casa os jogos mais legais da “Era dos Fliperamas”?
Nesta oficina iremos construir e personalizar um joystick maker usando os mesmos componentes de um arcade profissional utilizando o Arduino e o corte laser.
Não é necessário conhecimento prévio. No final o participante leva o que montou para casa.",,Maurício Jabur,"Artista interativo, maker e empreendedor; especialista em computação física, uma disciplina que permite a interação entre o mundo físico e computadores. Atua como consultor de interatividade e desenvolvimento de instalações artísticas, expográficas e produtos com automação. Apaixonado por música eletrônica, faz experimentação com instrumentos analógicos e digitais open source. 
",oficinas/joystick1,4DF04FEBF0F095477466AF89ACFF51B9,"800,00",5,10,Chegando,20/10/2018
